cust_id,city,total_spend,avg_customer_spend
3172,Sharjah,15293.94,10975.373986
1869,Abu Dhabi,15288.37,10975.373986
394,Dubai,15281.79,10975.373986
4079,Sharjah,15268.06,10975.373986
3403,Abu Dhabi,15249.89,10975.373986
4248,Sharjah,15242.07,10975.373986
3591,Sharjah,15241.01,10975.373986
4442,Dubai,15235.07,10975.373986
724,Dubai,15222.07,10975.373986
4221,Sharjah,15186.93,10975.373986
4969,Abu Dhabi,15140.37,10975.373986
4723,Dubai,15133.50,10975.373986
3208,Sharjah,15124.35,10975.373986
526,Dubai,15121.97,10975.373986
4178,Dubai,15107.12,10975.373986
2834,Dubai,15098.13,10975.373986
4250,Dubai,15097.09,10975.373986
1462,Dubai,15068.79,10975.373986
655,Dubai,15068.55,10975.373986
4094,Dubai,15053.85,10975.373986
1888,Dubai,15041.45,10975.373986
4587,Dubai,15041.20,10975.373986
1575,Sharjah,15027.38,10975.373986
3151,Abu Dhabi,15019.73,10975.373986
4481,Abu Dhabi,15018.73,10975.373986
2245,Dubai,15012.74,10975.373986
2977,Abu Dhabi,14996.11,10975.373986
4769,Dubai,14987.09,10975.373986
4955,Sharjah,14984.97,10975.373986
1173,Abu Dhabi,14972.03,10975.373986
1974,Dubai,14969.89,10975.373986
369,Dubai,14962.93,10975.373986
3415,Abu Dhabi,14940.58,10975.373986
3718,Dubai,14934.80,10975.373986
1256,Abu Dhabi,14928.41,10975.373986
3705,Sharjah,14927.66,10975.373986
3782,Dubai,14911.92,10975.373986
4512,Dubai,14909.48,10975.373986
4014,Dubai,14891.46,10975.373986
716,Dubai,14888.54,10975.373986
884,Sharjah,14884.05,10975.373986
2574,Sharjah,14873.27,10975.373986
404,Abu Dhabi,14835.28,10975.373986
1074,Dubai,14818.98,10975.373986
4890,Dubai,14818.41,10975.373986
3676,Sharjah,14817.62,10975.373986
1648,Sharjah,14816.05,10975.373986
4546,Dubai,14811.38,10975.373986
34,Dubai,14792.32,10975.373986
1638,Abu Dhabi,14789.18,10975.373986
1545,Dubai,14767.75,10975.373986
2578,Abu Dhabi,14766.85,10975.373986
4,Abu Dhabi,14759.84,10975.373986
4563,Sharjah,14752.54,10975.373986
1688,Dubai,14751.92,10975.373986
243,Dubai,14744.18,10975.373986
2807,Sharjah,14740.65,10975.373986
2591,Sharjah,14735.63,10975.373986
4949,Dubai,14730.64,10975.373986
4725,Dubai,14729.37,10975.373986
211,Abu Dhabi,14728.24,10975.373986
2420,Dubai,14727.24,10975.373986
456,Abu Dhabi,14721.12,10975.373986
1104,Abu Dhabi,14715.05,10975.373986
3972,Dubai,14702.64,10975.373986
1642,Sharjah,14701.20,10975.373986
2183,Dubai,14700.17,10975.373986
1327,Dubai,14695.80,10975.373986
1535,Dubai,14675.88,10975.373986
4263,Sharjah,14675.30,10975.373986
743,Abu Dhabi,14671.82,10975.373986
2110,Abu Dhabi,14661.73,10975.373986
3448,Sharjah,14661.04,10975.373986
4684,Dubai,14655.35,10975.373986
273,Sharjah,14655.14,10975.373986
2568,Abu Dhabi,14655.10,10975.373986
1102,Sharjah,14635.82,10975.373986
2161,Dubai,14630.14,10975.373986
4233,Sharjah,14620.87,10975.373986
656,Abu Dhabi,14620.44,10975.373986
1777,Dubai,14620.37,10975.373986
2758,Dubai,14612.93,10975.373986
2717,Abu Dhabi,14608.95,10975.373986
3875,Dubai,14607.82,10975.373986
372,Sharjah,14606.25,10975.373986
2604,Sharjah,14601.83,10975.373986
1290,Abu Dhabi,14594.05,10975.373986
4632,Sharjah,14588.12,10975.373986
1096,Dubai,14587.29,10975.373986
2832,Dubai,14583.62,10975.373986
341,Dubai,14578.55,10975.373986
2975,Dubai,14574.24,10975.373986
301,Dubai,14571.12,10975.373986
4245,Sharjah,14570.44,10975.373986
4402,Sharjah,14561.23,10975.373986
4560,Sharjah,14527.12,10975.373986
983,Dubai,14522.61,10975.373986
2277,Dubai,14516.66,10975.373986
3430,Abu Dhabi,14515.66,10975.373986
2740,Dubai,14492.77,10975.373986
2267,Abu Dhabi,14490.65,10975.373986
4691,Sharjah,14489.98,10975.373986
791,Sharjah,14489.33,10975.373986
4875,Dubai,14476.32,10975.373986
870,Dubai,14466.75,10975.373986
4371,Sharjah,14464.13,10975.373986
807,Dubai,14460.48,10975.373986
1111,Abu Dhabi,14458.58,10975.373986
2971,Sharjah,14452.74,10975.373986
337,Sharjah,14451.88,10975.373986
1585,Sharjah,14449.17,10975.373986
540,Sharjah,14441.31,10975.373986
2328,Dubai,14430.31,10975.373986
4495,Dubai,14428.38,10975.373986
3435,Sharjah,14422.50,10975.373986
2147,Dubai,14422.24,10975.373986
1996,Abu Dhabi,14421.88,10975.373986
2149,Dubai,14421.21,10975.373986
3564,Dubai,14417.25,10975.373986
1372,Dubai,14414.18,10975.373986
590,Abu Dhabi,14411.05,10975.373986
2432,Abu Dhabi,14408.65,10975.373986
3560,Dubai,14407.78,10975.373986
2261,Dubai,14404.51,10975.373986
1914,Sharjah,14398.51,10975.373986
356,Dubai,14396.78,10975.373986
1037,Abu Dhabi,14396.42,10975.373986
1948,Abu Dhabi,14396.08,10975.373986
1348,Abu Dhabi,14395.29,10975.373986
1223,Dubai,14385.47,10975.373986
1333,Sharjah,14382.84,10975.373986
4308,Dubai,14372.00,10975.373986
2015,Abu Dhabi,14371.41,10975.373986
1387,Abu Dhabi,14369.45,10975.373986
1982,Dubai,14363.58,10975.373986
2437,Dubai,14357.53,10975.373986
1090,Dubai,14355.43,10975.373986
1843,Dubai,14350.94,10975.373986
3385,Sharjah,14348.92,10975.373986
1692,Dubai,14343.47,10975.373986
4968,Dubai,14340.71,10975.373986
1825,Dubai,14330.98,10975.373986
3913,Dubai,14327.21,10975.373986
1728,Sharjah,14323.70,10975.373986
448,Dubai,14323.10,10975.373986
265,Dubai,14322.81,10975.373986
1619,Sharjah,14321.88,10975.373986
1477,Dubai,14320.72,10975.373986
878,Abu Dhabi,14317.22,10975.373986
516,Abu Dhabi,14313.88,10975.373986
3337,Dubai,14311.03,10975.373986
3362,Dubai,14304.12,10975.373986
1730,Sharjah,14296.25,10975.373986
2927,Dubai,14292.56,10975.373986
1538,Dubai,14291.16,10975.373986
1115,Dubai,14290.39,10975.373986
3535,Abu Dhabi,14288.98,10975.373986
1748,Dubai,14288.74,10975.373986
229,Dubai,14283.62,10975.373986
2342,Dubai,14281.75,10975.373986
4450,Dubai,14264.20,10975.373986
4343,Dubai,14256.43,10975.373986
1883,Abu Dhabi,14250.92,10975.373986
142,Sharjah,14249.77,10975.373986
2350,Dubai,14245.54,10975.373986
2076,Sharjah,14237.70,10975.373986
3184,Dubai,14234.33,10975.373986
4731,Dubai,14233.54,10975.373986
828,Abu Dhabi,14228.11,10975.373986
3331,Dubai,14227.88,10975.373986
2324,Abu Dhabi,14218.54,10975.373986
1752,Abu Dhabi,14209.88,10975.373986
2783,Abu Dhabi,14196.50,10975.373986
366,Dubai,14195.34,10975.373986
586,Dubai,14189.21,10975.373986
3043,Abu Dhabi,14188.31,10975.373986
4212,Abu Dhabi,14184.32,10975.373986
2900,Abu Dhabi,14183.75,10975.373986
2252,Dubai,14183.56,10975.373986
1604,Abu Dhabi,14179.65,10975.373986
2744,Sharjah,14178.85,10975.373986
357,Dubai,14175.62,10975.373986
795,Sharjah,14171.35,10975.373986
3495,Sharjah,14159.26,10975.373986
3579,Dubai,14156.52,10975.373986
3614,Abu Dhabi,14155.94,10975.373986
2359,Dubai,14149.50,10975.373986
2163,Sharjah,14145.41,10975.373986
3688,Dubai,14144.60,10975.373986
3402,Dubai,14142.94,10975.373986
4911,Sharjah,14139.61,10975.373986
2930,Dubai,14138.48,10975.373986
946,Dubai,14136.52,10975.373986
1431,Dubai,14132.30,10975.373986
3801,Dubai,14129.00,10975.373986
2290,Sharjah,14124.39,10975.373986
4572,Dubai,14123.26,10975.373986
1061,Sharjah,14119.30,10975.373986
3294,Dubai,14116.53,10975.373986
2919,Dubai,14109.92,10975.373986
2030,Dubai,14106.40,10975.373986
4959,Dubai,14101.77,10975.373986
4088,Dubai,14097.99,10975.373986
3506,Sharjah,14095.78,10975.373986
2512,Abu Dhabi,14084.09,10975.373986
4017,Sharjah,14082.45,10975.373986
2812,Dubai,14077.78,10975.373986
4398,Sharjah,14068.83,10975.373986
1143,Dubai,14066.67,10975.373986
4811,Dubai,14064.96,10975.373986
3209,Sharjah,14063.01,10975.373986
4360,Abu Dhabi,14056.11,10975.373986
3407,Dubai,14051.67,10975.373986
1789,Abu Dhabi,14044.86,10975.373986
492,Dubai,14044.66,10975.373986
3288,Abu Dhabi,14026.90,10975.373986
2170,Dubai,14025.51,10975.373986
1393,Sharjah,14018.57,10975.373986
4239,Dubai,14012.73,10975.373986
1039,Sharjah,14009.08,10975.373986
1957,Abu Dhabi,14007.50,10975.373986
713,Dubai,14003.15,10975.373986
2774,Dubai,13999.25,10975.373986
1508,Abu Dhabi,13977.25,10975.373986
3636,Abu Dhabi,13971.65,10975.373986
506,Sharjah,13968.13,10975.373986
3864,Sharjah,13967.81,10975.373986
4645,Dubai,13963.67,10975.373986
4117,Sharjah,13955.30,10975.373986
245,Dubai,13948.57,10975.373986
1706,Dubai,13947.82,10975.373986
190,Sharjah,13945.26,10975.373986
1714,Dubai,13924.74,10975.373986
4942,Dubai,13922.99,10975.373986
2438,Abu Dhabi,13922.39,10975.373986
4366,Dubai,13921.31,10975.373986
1481,Dubai,13919.47,10975.373986
2344,Dubai,13916.57,10975.373986
4945,Dubai,13908.69,10975.373986
4336,Sharjah,13904.95,10975.373986
4994,Abu Dhabi,13900.71,10975.373986
3853,Abu Dhabi,13899.86,10975.373986
1968,Dubai,13894.97,10975.373986
1812,Dubai,13891.84,10975.373986
3795,Dubai,13889.46,10975.373986
4630,Dubai,13888.36,10975.373986
681,Dubai,13885.48,10975.373986
601,Abu Dhabi,13883.11,10975.373986
4675,Abu Dhabi,13882.71,10975.373986
2679,Sharjah,13879.67,10975.373986
1679,Dubai,13879.16,10975.373986
1842,Dubai,13877.50,10975.373986
1426,Dubai,13876.69,10975.373986
3077,Dubai,13876.00,10975.373986
3169,Dubai,13863.88,10975.373986
2439,Dubai,13861.88,10975.373986
2968,Dubai,13860.02,10975.373986
4568,Dubai,13859.71,10975.373986
3252,Abu Dhabi,13854.38,10975.373986
4562,Sharjah,13850.07,10975.373986
757,Abu Dhabi,13848.51,10975.373986
483,Dubai,13848.30,10975.373986
2250,Abu Dhabi,13846.69,10975.373986
4567,Abu Dhabi,13846.42,10975.373986
2524,Dubai,13842.48,10975.373986
1461,Dubai,13839.05,10975.373986
838,Sharjah,13834.42,10975.373986
3476,Sharjah,13829.52,10975.373986
1878,Dubai,13827.03,10975.373986
2218,Sharjah,13825.95,10975.373986
3554,Abu Dhabi,13820.39,10975.373986
2925,Dubai,13818.36,10975.373986
1902,Sharjah,13817.80,10975.373986
1316,Abu Dhabi,13817.47,10975.373986
916,Abu Dhabi,13813.21,10975.373986
3879,Abu Dhabi,13813.20,10975.373986
1591,Dubai,13811.46,10975.373986
2288,Dubai,13799.28,10975.373986
3883,Abu Dhabi,13795.28,10975.373986
2386,Dubai,13794.90,10975.373986
3890,Sharjah,13789.85,10975.373986
386,Abu Dhabi,13786.07,10975.373986
3698,Abu Dhabi,13785.51,10975.373986
4808,Dubai,13779.97,10975.373986
405,Dubai,13772.84,10975.373986
3717,Abu Dhabi,13770.99,10975.373986
1936,Sharjah,13764.15,10975.373986
1700,Abu Dhabi,13763.23,10975.373986
1093,Abu Dhabi,13754.01,10975.373986
2318,Abu Dhabi,13749.96,10975.373986
3979,Dubai,13749.43,10975.373986
3393,Dubai,13742.69,10975.373986
1583,Dubai,13742.50,10975.373986
1177,Dubai,13741.53,10975.373986
2254,Dubai,13740.99,10975.373986
3668,Abu Dhabi,13740.76,10975.373986
1701,Dubai,13733.02,10975.373986
2899,Abu Dhabi,13725.90,10975.373986
3760,Abu Dhabi,13725.53,10975.373986
4783,Dubai,13721.83,10975.373986
890,Dubai,13718.95,10975.373986
2302,Abu Dhabi,13712.60,10975.373986
4997,Sharjah,13704.69,10975.373986
1537,Dubai,13703.70,10975.373986
913,Dubai,13701.74,10975.373986
3981,Abu Dhabi,13694.06,10975.373986
3045,Dubai,13693.96,10975.373986
4513,Dubai,13691.59,10975.373986
2351,Abu Dhabi,13691.24,10975.373986
3100,Abu Dhabi,13687.45,10975.373986
3035,Dubai,13685.79,10975.373986
1616,Dubai,13685.04,10975.373986
333,Sharjah,13683.59,10975.373986
3640,Dubai,13681.47,10975.373986
3524,Dubai,13671.62,10975.373986
4472,Abu Dhabi,13670.39,10975.373986
4103,Abu Dhabi,13669.08,10975.373986
4215,Sharjah,13669.05,10975.373986
652,Dubai,13667.75,10975.373986
4500,Sharjah,13666.46,10975.373986
359,Abu Dhabi,13666.39,10975.373986
2451,Dubai,13663.06,10975.373986
130,Abu Dhabi,13662.97,10975.373986
738,Dubai,13658.79,10975.373986
751,Dubai,13657.75,10975.373986
2084,Sharjah,13651.51,10975.373986
809,Sharjah,13649.75,10975.373986
4315,Sharjah,13645.47,10975.373986
2609,Dubai,13644.21,10975.373986
4534,Abu Dhabi,13632.77,10975.373986
117,Dubai,13631.68,10975.373986
3194,Abu Dhabi,13625.53,10975.373986
319,Sharjah,13622.55,10975.373986
3541,Abu Dhabi,13616.77,10975.373986
227,Abu Dhabi,13615.84,10975.373986
511,Sharjah,13611.87,10975.373986
3016,Sharjah,13610.33,10975.373986
3010,Sharjah,13610.24,10975.373986
1835,Dubai,13606.33,10975.373986
4657,Abu Dhabi,13603.78,10975.373986
4022,Abu Dhabi,13595.40,10975.373986
2064,Dubai,13591.10,10975.373986
3164,Dubai,13589.62,10975.373986
2268,Abu Dhabi,13586.51,10975.373986
4039,Abu Dhabi,13578.35,10975.373986
53,Dubai,13578.32,10975.373986
4784,Sharjah,13577.19,10975.373986
707,Dubai,13576.85,10975.373986
1862,Abu Dhabi,13572.85,10975.373986
4557,Dubai,13570.23,10975.373986
1865,Dubai,13567.95,10975.373986
4086,Dubai,13563.66,10975.373986
3,Dubai,13562.01,10975.373986
1626,Sharjah,13559.93,10975.373986
4112,Dubai,13559.18,10975.373986
3187,Sharjah,13555.05,10975.373986
3984,Abu Dhabi,13546.24,10975.373986
2114,Dubai,13543.01,10975.373986
856,Sharjah,13537.39,10975.373986
3165,Dubai,13536.30,10975.373986
4019,Sharjah,13535.06,10975.373986
3336,Dubai,13533.88,10975.373986
260,Sharjah,13533.59,10975.373986
4321,Dubai,13533.54,10975.373986
2349,Abu Dhabi,13533.49,10975.373986
2068,Sharjah,13533.07,10975.373986
4798,Sharjah,13532.78,10975.373986
470,Dubai,13532.28,10975.373986
2613,Dubai,13528.18,10975.373986
808,Sharjah,13525.82,10975.373986
4735,Abu Dhabi,13517.97,10975.373986
3381,Sharjah,13517.44,10975.373986
4847,Dubai,13517.40,10975.373986
4136,Sharjah,13515.49,10975.373986
4361,Abu Dhabi,13514.20,10975.373986
3956,Dubai,13500.92,10975.373986
768,Dubai,13500.72,10975.373986
3790,Abu Dhabi,13497.73,10975.373986
4586,Dubai,13497.38,10975.373986
4467,Dubai,13494.40,10975.373986
4952,Abu Dhabi,13491.15,10975.373986
1941,Abu Dhabi,13488.01,10975.373986
4685,Sharjah,13483.81,10975.373986
340,Abu Dhabi,13480.61,10975.373986
3594,Dubai,13478.35,10975.373986
3817,Abu Dhabi,13476.22,10975.373986
550,Dubai,13475.32,10975.373986
784,Abu Dhabi,13474.75,10975.373986
3566,Dubai,13473.74,10975.373986
1964,Sharjah,13473.01,10975.373986
2951,Dubai,13470.83,10975.373986
1349,Dubai,13464.64,10975.373986
3825,Dubai,13463.20,10975.373986
1775,Abu Dhabi,13459.82,10975.373986
4082,Dubai,13458.19,10975.373986
1457,Dubai,13457.26,10975.373986
2174,Abu Dhabi,13456.03,10975.373986
3364,Sharjah,13450.94,10975.373986
2190,Sharjah,13450.00,10975.373986
552,Sharjah,13445.85,10975.373986
1682,Abu Dhabi,13443.78,10975.373986
781,Dubai,13442.81,10975.373986
2796,Dubai,13442.25,10975.373986
4380,Abu Dhabi,13429.94,10975.373986
1071,Dubai,13428.78,10975.373986
4864,Dubai,13426.09,10975.373986
3489,Dubai,13417.49,10975.373986
3439,Sharjah,13417.36,10975.373986
4850,Abu Dhabi,13415.71,10975.373986
764,Abu Dhabi,13414.55,10975.373986
4824,Dubai,13414.43,10975.373986
2809,Abu Dhabi,13406.66,10975.373986
2730,Sharjah,13405.57,10975.373986
4669,Abu Dhabi,13403.18,10975.373986
3830,Dubai,13401.54,10975.373986
4893,Abu Dhabi,13387.92,10975.373986
437,Sharjah,13386.59,10975.373986
3310,Abu Dhabi,13384.80,10975.373986
2137,Abu Dhabi,13380.25,10975.373986
4577,Sharjah,13378.01,10975.373986
1195,Abu Dhabi,13376.29,10975.373986
660,Abu Dhabi,13372.22,10975.373986
2869,Abu Dhabi,13371.74,10975.373986
3799,Dubai,13369.83,10975.373986
3426,Abu Dhabi,13363.22,10975.373986
3253,Dubai,13362.51,10975.373986
2986,Sharjah,13358.57,10975.373986
1548,Dubai,13358.47,10975.373986
1049,Abu Dhabi,13358.05,10975.373986
3513,Sharjah,13357.32,10975.373986
4796,Dubai,13352.10,10975.373986
2939,Abu Dhabi,13351.04,10975.373986
1815,Dubai,13350.76,10975.373986
2129,Dubai,13349.55,10975.373986
2965,Dubai,13349.18,10975.373986
1699,Abu Dhabi,13348.69,10975.373986
1840,Abu Dhabi,13347.27,10975.373986
766,Dubai,13347.05,10975.373986
1273,Abu Dhabi,13343.88,10975.373986
3083,Dubai,13342.06,10975.373986
1130,Sharjah,13339.80,10975.373986
3263,Dubai,13337.43,10975.373986
2849,Dubai,13336.65,10975.373986
2445,Dubai,13334.43,10975.373986
632,Dubai,13334.38,10975.373986
3458,Sharjah,13334.00,10975.373986
3473,Abu Dhabi,13330.32,10975.373986
1633,Abu Dhabi,13324.08,10975.373986
4530,Dubai,13324.00,10975.373986
1026,Abu Dhabi,13323.67,10975.373986
4813,Sharjah,13322.10,10975.373986
978,Abu Dhabi,13321.15,10975.373986
4624,Dubai,13317.05,10975.373986
942,Dubai,13317.00,10975.373986
927,Dubai,13314.36,10975.373986
1503,Abu Dhabi,13310.66,10975.373986
4181,Dubai,13309.98,10975.373986
3293,Abu Dhabi,13308.25,10975.373986
1248,Sharjah,13307.36,10975.373986
4668,Dubai,13303.29,10975.373986
464,Sharjah,13301.78,10975.373986
4839,Sharjah,13291.42,10975.373986
3820,Dubai,13289.02,10975.373986
20,Sharjah,13282.60,10975.373986
2727,Dubai,13280.75,10975.373986
2934,Abu Dhabi,13278.35,10975.373986
124,Dubai,13278.14,10975.373986
3156,Sharjah,13271.69,10975.373986
974,Abu Dhabi,13271.04,10975.373986
410,Abu Dhabi,13266.51,10975.373986
2036,Dubai,13266.03,10975.373986
3515,Sharjah,13262.31,10975.373986
4525,Dubai,13261.41,10975.373986
3467,Dubai,13260.20,10975.373986
3568,Sharjah,13260.03,10975.373986
3170,Dubai,13259.53,10975.373986
3585,Dubai,13256.19,10975.373986
2340,Abu Dhabi,13253.68,10975.373986
2156,Dubai,13251.24,10975.373986
2272,Abu Dhabi,13250.92,10975.373986
2659,Abu Dhabi,13248.90,10975.373986
2390,Dubai,13247.62,10975.373986
4867,Abu Dhabi,13243.88,10975.373986
487,Abu Dhabi,13241.33,10975.373986
2226,Sharjah,13240.75,10975.373986
1156,Dubai,13238.23,10975.373986
1791,Dubai,13237.08,10975.373986
444,Abu Dhabi,13234.70,10975.373986
58,Sharjah,13234.21,10975.373986
3387,Dubai,13232.57,10975.373986
1309,Sharjah,13232.10,10975.373986
2346,Dubai,13231.30,10975.373986
1099,Abu Dhabi,13229.33,10975.373986
4643,Sharjah,13228.02,10975.373986
1276,Dubai,13226.96,10975.373986
3860,Sharjah,13226.35,10975.373986
2911,Sharjah,13224.20,10975.373986
3071,Sharjah,13223.90,10975.373986
2244,Sharjah,13222.46,10975.373986
2385,Dubai,13219.07,10975.373986
134,Sharjah,13217.93,10975.373986
1305,Sharjah,13216.92,10975.373986
4211,Abu Dhabi,13216.23,10975.373986
1315,Abu Dhabi,13216.09,10975.373986
4335,Dubai,13215.83,10975.373986
1589,Dubai,13214.54,10975.373986
2380,Abu Dhabi,13214.18,10975.373986
970,Dubai,13213.48,10975.373986
2317,Dubai,13211.87,10975.373986
3419,Abu Dhabi,13208.24,10975.373986
3706,Dubai,13204.08,10975.373986
3446,Dubai,13201.74,10975.373986
2521,Dubai,13199.45,10975.373986
4871,Abu Dhabi,13199.13,10975.373986
85,Sharjah,13197.87,10975.373986
3189,Abu Dhabi,13197.49,10975.373986
315,Dubai,13194.43,10975.373986
1940,Abu Dhabi,13194.36,10975.373986
3007,Abu Dhabi,13190.40,10975.373986
3051,Dubai,13189.27,10975.373986
4175,Dubai,13187.12,10975.373986
4067,Dubai,13186.87,10975.373986
4922,Abu Dhabi,13185.76,10975.373986
1389,Dubai,13185.11,10975.373986
798,Dubai,13180.38,10975.373986
4152,Abu Dhabi,13180.25,10975.373986
3485,Dubai,13176.21,10975.373986
665,Sharjah,13175.07,10975.373986
3780,Abu Dhabi,13174.39,10975.373986
1832,Dubai,13173.89,10975.373986
2982,Dubai,13173.63,10975.373986
364,Abu Dhabi,13171.16,10975.373986
571,Dubai,13171.13,10975.373986
1493,Dubai,13169.54,10975.373986
4762,Dubai,13165.19,10975.373986
3464,Abu Dhabi,13163.32,10975.373986
733,Dubai,13161.09,10975.373986
3733,Sharjah,13158.48,10975.373986
3602,Sharjah,13156.66,10975.373986
2292,Dubai,13156.13,10975.373986
4986,Sharjah,13155.95,10975.373986
4313,Sharjah,13154.46,10975.373986
3073,Abu Dhabi,13153.75,10975.373986
3870,Dubai,13152.54,10975.373986
4440,Dubai,13152.28,10975.373986
4860,Dubai,13149.27,10975.373986
324,Sharjah,13144.88,10975.373986
38,Abu Dhabi,13144.13,10975.373986
4826,Sharjah,13141.72,10975.373986
1893,Sharjah,13140.96,10975.373986
2434,Dubai,13140.62,10975.373986
4487,Abu Dhabi,13132.56,10975.373986
3656,Abu Dhabi,13131.51,10975.373986
308,Dubai,13124.23,10975.373986
2069,Dubai,13121.81,10975.373986
4418,Dubai,13119.97,10975.373986
3412,Abu Dhabi,13119.10,10975.373986
1485,Sharjah,13111.90,10975.373986
1007,Dubai,13111.80,10975.373986
3784,Sharjah,13108.95,10975.373986
2152,Abu Dhabi,13107.47,10975.373986
682,Abu Dhabi,13104.66,10975.373986
4488,Abu Dhabi,13104.38,10975.373986
3416,Abu Dhabi,13101.84,10975.373986
502,Dubai,13096.65,10975.373986
3413,Sharjah,13095.05,10975.373986
727,Dubai,13092.09,10975.373986
633,Dubai,13087.60,10975.373986
3037,Sharjah,13086.02,10975.373986
4819,Dubai,13081.35,10975.373986
3144,Abu Dhabi,13080.72,10975.373986
3791,Abu Dhabi,13080.63,10975.373986
2059,Dubai,13074.87,10975.373986
67,Sharjah,13073.35,10975.373986
2843,Dubai,13073.28,10975.373986
545,Sharjah,13071.59,10975.373986
1951,Abu Dhabi,13070.42,10975.373986
2056,Dubai,13069.24,10975.373986
3228,Abu Dhabi,13066.08,10975.373986
4433,Sharjah,13064.74,10975.373986
1056,Dubai,13064.34,10975.373986
2987,Dubai,13061.80,10975.373986
3306,Abu Dhabi,13059.77,10975.373986
4991,Sharjah,13052.56,10975.373986
1564,Abu Dhabi,13049.69,10975.373986
4877,Abu Dhabi,13049.04,10975.373986
3265,Dubai,13048.15,10975.373986
3978,Dubai,13046.02,10975.373986
647,Dubai,13041.40,10975.373986
4114,Dubai,13039.18,10975.373986
1317,Dubai,13038.50,10975.373986
2279,Abu Dhabi,13036.09,10975.373986
1576,Sharjah,13034.14,10975.373986
157,Dubai,13031.73,10975.373986
1641,Abu Dhabi,13027.84,10975.373986
2199,Abu Dhabi,13027.45,10975.373986
899,Dubai,13023.68,10975.373986
4367,Dubai,13022.73,10975.373986
1550,Dubai,13021.96,10975.373986
1496,Dubai,13021.81,10975.373986
1291,Abu Dhabi,13014.10,10975.373986
2052,Abu Dhabi,13013.99,10975.373986
3015,Sharjah,13012.10,10975.373986
2134,Dubai,13010.77,10975.373986
242,Sharjah,13010.57,10975.373986
2246,Dubai,13006.46,10975.373986
4758,Dubai,13005.66,10975.373986
2225,Dubai,13004.57,10975.373986
1314,Abu Dhabi,13004.37,10975.373986
