cust_id,city,total_spend,spend_tier
1974,Dubai,14969.89,Medium
369,Dubai,14962.93,Medium
3415,Abu Dhabi,14940.58,Medium
3718,Dubai,14934.80,Medium
1256,Abu Dhabi,14928.41,Medium
3705,Sharjah,14927.66,Medium
3782,Dubai,14911.92,Medium
4512,Dubai,14909.48,Medium
4014,Dubai,14891.46,Medium
716,Dubai,14888.54,Medium
884,Sharjah,14884.05,Medium
2574,Sharjah,14873.27,Medium
404,Abu Dhabi,14835.28,Medium
1074,Dubai,14818.98,Medium
4890,Dubai,14818.41,Medium
3676,Sharjah,14817.62,Medium
1648,Sharjah,14816.05,Medium
4546,Dubai,14811.38,Medium
34,Dubai,14792.32,Medium
1638,Abu Dhabi,14789.18,Medium
1545,Dubai,14767.75,Medium
2578,Abu Dhabi,14766.85,Medium
4,Abu Dhabi,14759.84,Medium
4563,Sharjah,14752.54,Medium
1688,Dubai,14751.92,Medium
243,Dubai,14744.18,Medium
2807,Sharjah,14740.65,Medium
2591,Sharjah,14735.63,Medium
4949,Dubai,14730.64,Medium
4725,Dubai,14729.37,Medium
211,Abu Dhabi,14728.24,Medium
2420,Dubai,14727.24,Medium
456,Abu Dhabi,14721.12,Medium
1104,Abu Dhabi,14715.05,Medium
3972,Dubai,14702.64,Medium
1642,Sharjah,14701.20,Medium
2183,Dubai,14700.17,Medium
1327,Dubai,14695.80,Medium
1535,Dubai,14675.88,Medium
4263,Sharjah,14675.30,Medium
743,Abu Dhabi,14671.82,Medium
2110,Abu Dhabi,14661.73,Medium
3448,Sharjah,14661.04,Medium
4684,Dubai,14655.35,Medium
273,Sharjah,14655.14,Medium
2568,Abu Dhabi,14655.10,Medium
1102,Sharjah,14635.82,Medium
2161,Dubai,14630.14,Medium
4233,Sharjah,14620.87,Medium
656,Abu Dhabi,14620.44,Medium
1777,Dubai,14620.37,Medium
2758,Dubai,14612.93,Medium
2717,Abu Dhabi,14608.95,Medium
3875,Dubai,14607.82,Medium
372,Sharjah,14606.25,Medium
2604,Sharjah,14601.83,Medium
1290,Abu Dhabi,14594.05,Medium
4632,Sharjah,14588.12,Medium
1096,Dubai,14587.29,Medium
2832,Dubai,14583.62,Medium
341,Dubai,14578.55,Medium
2975,Dubai,14574.24,Medium
301,Dubai,14571.12,Medium
4245,Sharjah,14570.44,Medium
4402,Sharjah,14561.23,Medium
4560,Sharjah,14527.12,Medium
983,Dubai,14522.61,Medium
2277,Dubai,14516.66,Medium
3430,Abu Dhabi,14515.66,Medium
2740,Dubai,14492.77,Medium
2267,Abu Dhabi,14490.65,Medium
4691,Sharjah,14489.98,Medium
791,Sharjah,14489.33,Medium
4875,Dubai,14476.32,Medium
870,Dubai,14466.75,Medium
4371,Sharjah,14464.13,Medium
807,Dubai,14460.48,Medium
1111,Abu Dhabi,14458.58,Medium
2971,Sharjah,14452.74,Medium
337,Sharjah,14451.88,Medium
1585,Sharjah,14449.17,Medium
540,Sharjah,14441.31,Medium
2328,Dubai,14430.31,Medium
4495,Dubai,14428.38,Medium
3435,Sharjah,14422.50,Medium
2147,Dubai,14422.24,Medium
1996,Abu Dhabi,14421.88,Medium
2149,Dubai,14421.21,Medium
3564,Dubai,14417.25,Medium
1372,Dubai,14414.18,Medium
590,Abu Dhabi,14411.05,Medium
2432,Abu Dhabi,14408.65,Medium
3560,Dubai,14407.78,Medium
2261,Dubai,14404.51,Medium
1914,Sharjah,14398.51,Medium
356,Dubai,14396.78,Medium
1037,Abu Dhabi,14396.42,Medium
1948,Abu Dhabi,14396.08,Medium
1348,Abu Dhabi,14395.29,Medium
1223,Dubai,14385.47,Medium
1333,Sharjah,14382.84,Medium
4308,Dubai,14372.00,Medium
2015,Abu Dhabi,14371.41,Medium
1387,Abu Dhabi,14369.45,Medium
1982,Dubai,14363.58,Medium
2437,Dubai,14357.53,Medium
1090,Dubai,14355.43,Medium
1843,Dubai,14350.94,Medium
3385,Sharjah,14348.92,Medium
1692,Dubai,14343.47,Medium
4968,Dubai,14340.71,Medium
1825,Dubai,14330.98,Medium
3913,Dubai,14327.21,Medium
1728,Sharjah,14323.70,Medium
448,Dubai,14323.10,Medium
265,Dubai,14322.81,Medium
1619,Sharjah,14321.88,Medium
1477,Dubai,14320.72,Medium
878,Abu Dhabi,14317.22,Medium
516,Abu Dhabi,14313.88,Medium
3337,Dubai,14311.03,Medium
3362,Dubai,14304.12,Medium
1730,Sharjah,14296.25,Medium
2927,Dubai,14292.56,Medium
1538,Dubai,14291.16,Medium
1115,Dubai,14290.39,Medium
3535,Abu Dhabi,14288.98,Medium
1748,Dubai,14288.74,Medium
229,Dubai,14283.62,Medium
2342,Dubai,14281.75,Medium
4450,Dubai,14264.20,Medium
4343,Dubai,14256.43,Medium
1883,Abu Dhabi,14250.92,Medium
142,Sharjah,14249.77,Medium
2350,Dubai,14245.54,Medium
2076,Sharjah,14237.70,Medium
3184,Dubai,14234.33,Medium
4731,Dubai,14233.54,Medium
828,Abu Dhabi,14228.11,Medium
3331,Dubai,14227.88,Medium
2324,Abu Dhabi,14218.54,Medium
1752,Abu Dhabi,14209.88,Medium
2783,Abu Dhabi,14196.50,Medium
366,Dubai,14195.34,Medium
586,Dubai,14189.21,Medium
3043,Abu Dhabi,14188.31,Medium
4212,Abu Dhabi,14184.32,Medium
2900,Abu Dhabi,14183.75,Medium
2252,Dubai,14183.56,Medium
1604,Abu Dhabi,14179.65,Medium
2744,Sharjah,14178.85,Medium
357,Dubai,14175.62,Medium
795,Sharjah,14171.35,Medium
3495,Sharjah,14159.26,Medium
3579,Dubai,14156.52,Medium
3614,Abu Dhabi,14155.94,Medium
2359,Dubai,14149.50,Medium
2163,Sharjah,14145.41,Medium
3688,Dubai,14144.60,Medium
3402,Dubai,14142.94,Medium
4911,Sharjah,14139.61,Medium
2930,Dubai,14138.48,Medium
946,Dubai,14136.52,Medium
1431,Dubai,14132.30,Medium
3801,Dubai,14129.00,Medium
2290,Sharjah,14124.39,Medium
4572,Dubai,14123.26,Medium
1061,Sharjah,14119.30,Medium
3294,Dubai,14116.53,Medium
2919,Dubai,14109.92,Medium
2030,Dubai,14106.40,Medium
4959,Dubai,14101.77,Medium
4088,Dubai,14097.99,Medium
3506,Sharjah,14095.78,Medium
2512,Abu Dhabi,14084.09,Medium
4017,Sharjah,14082.45,Medium
2812,Dubai,14077.78,Medium
4398,Sharjah,14068.83,Medium
1143,Dubai,14066.67,Medium
4811,Dubai,14064.96,Medium
3209,Sharjah,14063.01,Medium
4360,Abu Dhabi,14056.11,Medium
3407,Dubai,14051.67,Medium
1789,Abu Dhabi,14044.86,Medium
492,Dubai,14044.66,Medium
3288,Abu Dhabi,14026.90,Medium
2170,Dubai,14025.51,Medium
1393,Sharjah,14018.57,Medium
4239,Dubai,14012.73,Medium
1039,Sharjah,14009.08,Medium
1957,Abu Dhabi,14007.50,Medium
713,Dubai,14003.15,Medium
2774,Dubai,13999.25,Medium
1508,Abu Dhabi,13977.25,Medium
3636,Abu Dhabi,13971.65,Medium
506,Sharjah,13968.13,Medium
3864,Sharjah,13967.81,Medium
4645,Dubai,13963.67,Medium
4117,Sharjah,13955.30,Medium
245,Dubai,13948.57,Medium
1706,Dubai,13947.82,Medium
190,Sharjah,13945.26,Medium
1714,Dubai,13924.74,Medium
4942,Dubai,13922.99,Medium
2438,Abu Dhabi,13922.39,Medium
4366,Dubai,13921.31,Medium
1481,Dubai,13919.47,Medium
2344,Dubai,13916.57,Medium
4945,Dubai,13908.69,Medium
4336,Sharjah,13904.95,Medium
4994,Abu Dhabi,13900.71,Medium
3853,Abu Dhabi,13899.86,Medium
1968,Dubai,13894.97,Medium
1812,Dubai,13891.84,Medium
3795,Dubai,13889.46,Medium
4630,Dubai,13888.36,Medium
681,Dubai,13885.48,Medium
601,Abu Dhabi,13883.11,Medium
4675,Abu Dhabi,13882.71,Medium
2679,Sharjah,13879.67,Medium
1679,Dubai,13879.16,Medium
1842,Dubai,13877.50,Medium
1426,Dubai,13876.69,Medium
3077,Dubai,13876.00,Medium
3169,Dubai,13863.88,Medium
2439,Dubai,13861.88,Medium
2968,Dubai,13860.02,Medium
4568,Dubai,13859.71,Medium
3252,Abu Dhabi,13854.38,Medium
4562,Sharjah,13850.07,Medium
757,Abu Dhabi,13848.51,Medium
483,Dubai,13848.30,Medium
2250,Abu Dhabi,13846.69,Medium
4567,Abu Dhabi,13846.42,Medium
2524,Dubai,13842.48,Medium
1461,Dubai,13839.05,Medium
838,Sharjah,13834.42,Medium
3476,Sharjah,13829.52,Medium
1878,Dubai,13827.03,Medium
2218,Sharjah,13825.95,Medium
3554,Abu Dhabi,13820.39,Medium
2925,Dubai,13818.36,Medium
1902,Sharjah,13817.80,Medium
1316,Abu Dhabi,13817.47,Medium
916,Abu Dhabi,13813.21,Medium
3879,Abu Dhabi,13813.20,Medium
1591,Dubai,13811.46,Medium
2288,Dubai,13799.28,Medium
3883,Abu Dhabi,13795.28,Medium
2386,Dubai,13794.90,Medium
3890,Sharjah,13789.85,Medium
386,Abu Dhabi,13786.07,Medium
3698,Abu Dhabi,13785.51,Medium
4808,Dubai,13779.97,Medium
405,Dubai,13772.84,Medium
3717,Abu Dhabi,13770.99,Medium
1936,Sharjah,13764.15,Medium
1700,Abu Dhabi,13763.23,Medium
1093,Abu Dhabi,13754.01,Medium
2318,Abu Dhabi,13749.96,Medium
3979,Dubai,13749.43,Medium
3393,Dubai,13742.69,Medium
1583,Dubai,13742.50,Medium
1177,Dubai,13741.53,Medium
2254,Dubai,13740.99,Medium
3668,Abu Dhabi,13740.76,Medium
1701,Dubai,13733.02,Medium
2899,Abu Dhabi,13725.90,Medium
3760,Abu Dhabi,13725.53,Medium
4783,Dubai,13721.83,Medium
890,Dubai,13718.95,Medium
2302,Abu Dhabi,13712.60,Medium
4997,Sharjah,13704.69,Medium
1537,Dubai,13703.70,Medium
913,Dubai,13701.74,Medium
3981,Abu Dhabi,13694.06,Medium
3045,Dubai,13693.96,Medium
4513,Dubai,13691.59,Medium
2351,Abu Dhabi,13691.24,Medium
3100,Abu Dhabi,13687.45,Medium
3035,Dubai,13685.79,Medium
1616,Dubai,13685.04,Medium
333,Sharjah,13683.59,Medium
3640,Dubai,13681.47,Medium
3524,Dubai,13671.62,Medium
4472,Abu Dhabi,13670.39,Medium
4103,Abu Dhabi,13669.08,Medium
4215,Sharjah,13669.05,Medium
652,Dubai,13667.75,Medium
4500,Sharjah,13666.46,Medium
359,Abu Dhabi,13666.39,Medium
2451,Dubai,13663.06,Medium
130,Abu Dhabi,13662.97,Medium
738,Dubai,13658.79,Medium
751,Dubai,13657.75,Medium
2084,Sharjah,13651.51,Medium
809,Sharjah,13649.75,Medium
4315,Sharjah,13645.47,Medium
2609,Dubai,13644.21,Medium
4534,Abu Dhabi,13632.77,Medium
117,Dubai,13631.68,Medium
3194,Abu Dhabi,13625.53,Medium
319,Sharjah,13622.55,Medium
3541,Abu Dhabi,13616.77,Medium
227,Abu Dhabi,13615.84,Medium
511,Sharjah,13611.87,Medium
3016,Sharjah,13610.33,Medium
3010,Sharjah,13610.24,Medium
1835,Dubai,13606.33,Medium
4657,Abu Dhabi,13603.78,Medium
4022,Abu Dhabi,13595.40,Medium
2064,Dubai,13591.10,Medium
3164,Dubai,13589.62,Medium
2268,Abu Dhabi,13586.51,Medium
4039,Abu Dhabi,13578.35,Medium
53,Dubai,13578.32,Medium
4784,Sharjah,13577.19,Medium
707,Dubai,13576.85,Medium
1862,Abu Dhabi,13572.85,Medium
4557,Dubai,13570.23,Medium
1865,Dubai,13567.95,Medium
4086,Dubai,13563.66,Medium
3,Dubai,13562.01,Medium
1626,Sharjah,13559.93,Medium
4112,Dubai,13559.18,Medium
3187,Sharjah,13555.05,Medium
3984,Abu Dhabi,13546.24,Medium
2114,Dubai,13543.01,Medium
856,Sharjah,13537.39,Medium
3165,Dubai,13536.30,Medium
4019,Sharjah,13535.06,Medium
3336,Dubai,13533.88,Medium
260,Sharjah,13533.59,Medium
4321,Dubai,13533.54,Medium
2349,Abu Dhabi,13533.49,Medium
2068,Sharjah,13533.07,Medium
4798,Sharjah,13532.78,Medium
470,Dubai,13532.28,Medium
2613,Dubai,13528.18,Medium
808,Sharjah,13525.82,Medium
4735,Abu Dhabi,13517.97,Medium
3381,Sharjah,13517.44,Medium
4847,Dubai,13517.40,Medium
4136,Sharjah,13515.49,Medium
4361,Abu Dhabi,13514.20,Medium
3956,Dubai,13500.92,Medium
768,Dubai,13500.72,Medium
3790,Abu Dhabi,13497.73,Medium
4586,Dubai,13497.38,Medium
4467,Dubai,13494.40,Medium
4952,Abu Dhabi,13491.15,Medium
1941,Abu Dhabi,13488.01,Medium
4685,Sharjah,13483.81,Medium
340,Abu Dhabi,13480.61,Medium
3594,Dubai,13478.35,Medium
3817,Abu Dhabi,13476.22,Medium
550,Dubai,13475.32,Medium
784,Abu Dhabi,13474.75,Medium
3566,Dubai,13473.74,Medium
1964,Sharjah,13473.01,Medium
2951,Dubai,13470.83,Medium
1349,Dubai,13464.64,Medium
3825,Dubai,13463.20,Medium
1775,Abu Dhabi,13459.82,Medium
4082,Dubai,13458.19,Medium
1457,Dubai,13457.26,Medium
2174,Abu Dhabi,13456.03,Medium
3364,Sharjah,13450.94,Medium
2190,Sharjah,13450.00,Medium
552,Sharjah,13445.85,Medium
1682,Abu Dhabi,13443.78,Medium
781,Dubai,13442.81,Medium
2796,Dubai,13442.25,Medium
4380,Abu Dhabi,13429.94,Medium
1071,Dubai,13428.78,Medium
4864,Dubai,13426.09,Medium
3489,Dubai,13417.49,Medium
3439,Sharjah,13417.36,Medium
4850,Abu Dhabi,13415.71,Medium
764,Abu Dhabi,13414.55,Medium
4824,Dubai,13414.43,Medium
2809,Abu Dhabi,13406.66,Medium
2730,Sharjah,13405.57,Medium
4669,Abu Dhabi,13403.18,Medium
3830,Dubai,13401.54,Medium
4893,Abu Dhabi,13387.92,Medium
437,Sharjah,13386.59,Medium
3310,Abu Dhabi,13384.80,Medium
2137,Abu Dhabi,13380.25,Medium
4577,Sharjah,13378.01,Medium
1195,Abu Dhabi,13376.29,Medium
660,Abu Dhabi,13372.22,Medium
2869,Abu Dhabi,13371.74,Medium
3799,Dubai,13369.83,Medium
3426,Abu Dhabi,13363.22,Medium
3253,Dubai,13362.51,Medium
2986,Sharjah,13358.57,Medium
1548,Dubai,13358.47,Medium
1049,Abu Dhabi,13358.05,Medium
3513,Sharjah,13357.32,Medium
4796,Dubai,13352.10,Medium
2939,Abu Dhabi,13351.04,Medium
1815,Dubai,13350.76,Medium
2129,Dubai,13349.55,Medium
2965,Dubai,13349.18,Medium
1699,Abu Dhabi,13348.69,Medium
1840,Abu Dhabi,13347.27,Medium
766,Dubai,13347.05,Medium
1273,Abu Dhabi,13343.88,Medium
3083,Dubai,13342.06,Medium
1130,Sharjah,13339.80,Medium
3263,Dubai,13337.43,Medium
2849,Dubai,13336.65,Medium
2445,Dubai,13334.43,Medium
632,Dubai,13334.38,Medium
3458,Sharjah,13334.00,Medium
3473,Abu Dhabi,13330.32,Medium
1633,Abu Dhabi,13324.08,Medium
4530,Dubai,13324.00,Medium
1026,Abu Dhabi,13323.67,Medium
4813,Sharjah,13322.10,Medium
978,Abu Dhabi,13321.15,Medium
4624,Dubai,13317.05,Medium
942,Dubai,13317.00,Medium
927,Dubai,13314.36,Medium
1503,Abu Dhabi,13310.66,Medium
4181,Dubai,13309.98,Medium
3293,Abu Dhabi,13308.25,Medium
1248,Sharjah,13307.36,Medium
4668,Dubai,13303.29,Medium
464,Sharjah,13301.78,Medium
4839,Sharjah,13291.42,Medium
3820,Dubai,13289.02,Medium
20,Sharjah,13282.60,Medium
2727,Dubai,13280.75,Medium
2934,Abu Dhabi,13278.35,Medium
124,Dubai,13278.14,Medium
3156,Sharjah,13271.69,Medium
974,Abu Dhabi,13271.04,Medium
410,Abu Dhabi,13266.51,Medium
2036,Dubai,13266.03,Medium
3515,Sharjah,13262.31,Medium
4525,Dubai,13261.41,Medium
3467,Dubai,13260.20,Medium
3568,Sharjah,13260.03,Medium
3170,Dubai,13259.53,Medium
3585,Dubai,13256.19,Medium
2340,Abu Dhabi,13253.68,Medium
2156,Dubai,13251.24,Medium
2272,Abu Dhabi,13250.92,Medium
2659,Abu Dhabi,13248.90,Medium
2390,Dubai,13247.62,Medium
4867,Abu Dhabi,13243.88,Medium
487,Abu Dhabi,13241.33,Medium
2226,Sharjah,13240.75,Medium
1156,Dubai,13238.23,Medium
1791,Dubai,13237.08,Medium
444,Abu Dhabi,13234.70,Medium
58,Sharjah,13234.21,Medium
3387,Dubai,13232.57,Medium
1309,Sharjah,13232.10,Medium
2346,Dubai,13231.30,Medium
1099,Abu Dhabi,13229.33,Medium
4643,Sharjah,13228.02,Medium
1276,Dubai,13226.96,Medium
3860,Sharjah,13226.35,Medium
2911,Sharjah,13224.20,Medium
3071,Sharjah,13223.90,Medium
2244,Sharjah,13222.46,Medium
2385,Dubai,13219.07,Medium
134,Sharjah,13217.93,Medium
1305,Sharjah,13216.92,Medium
4211,Abu Dhabi,13216.23,Medium
1315,Abu Dhabi,13216.09,Medium
4335,Dubai,13215.83,Medium
1589,Dubai,13214.54,Medium
2380,Abu Dhabi,13214.18,Medium
970,Dubai,13213.48,Medium
2317,Dubai,13211.87,Medium
3419,Abu Dhabi,13208.24,Medium
3706,Dubai,13204.08,Medium
3446,Dubai,13201.74,Medium
2521,Dubai,13199.45,Medium
4871,Abu Dhabi,13199.13,Medium
85,Sharjah,13197.87,Medium
3189,Abu Dhabi,13197.49,Medium
315,Dubai,13194.43,Medium
1940,Abu Dhabi,13194.36,Medium
3007,Abu Dhabi,13190.40,Medium
3051,Dubai,13189.27,Medium
4175,Dubai,13187.12,Medium
4067,Dubai,13186.87,Medium
4922,Abu Dhabi,13185.76,Medium
1389,Dubai,13185.11,Medium
798,Dubai,13180.38,Medium
4152,Abu Dhabi,13180.25,Medium
3485,Dubai,13176.21,Medium
665,Sharjah,13175.07,Medium
3780,Abu Dhabi,13174.39,Medium
1832,Dubai,13173.89,Medium
2982,Dubai,13173.63,Medium
364,Abu Dhabi,13171.16,Medium
571,Dubai,13171.13,Medium
1493,Dubai,13169.54,Medium
4762,Dubai,13165.19,Medium
3464,Abu Dhabi,13163.32,Medium
733,Dubai,13161.09,Medium
3733,Sharjah,13158.48,Medium
3602,Sharjah,13156.66,Medium
2292,Dubai,13156.13,Medium
4986,Sharjah,13155.95,Medium
4313,Sharjah,13154.46,Medium
3073,Abu Dhabi,13153.75,Medium
3870,Dubai,13152.54,Medium
4440,Dubai,13152.28,Medium
4860,Dubai,13149.27,Medium
324,Sharjah,13144.88,Medium
38,Abu Dhabi,13144.13,Medium
4826,Sharjah,13141.72,Medium
1893,Sharjah,13140.96,Medium
2434,Dubai,13140.62,Medium
4487,Abu Dhabi,13132.56,Medium
3656,Abu Dhabi,13131.51,Medium
308,Dubai,13124.23,Medium
2069,Dubai,13121.81,Medium
4418,Dubai,13119.97,Medium
3412,Abu Dhabi,13119.10,Medium
1485,Sharjah,13111.90,Medium
1007,Dubai,13111.80,Medium
3784,Sharjah,13108.95,Medium
2152,Abu Dhabi,13107.47,Medium
682,Abu Dhabi,13104.66,Medium
4488,Abu Dhabi,13104.38,Medium
3416,Abu Dhabi,13101.84,Medium
502,Dubai,13096.65,Medium
3413,Sharjah,13095.05,Medium
727,Dubai,13092.09,Medium
633,Dubai,13087.60,Medium
3037,Sharjah,13086.02,Medium
4819,Dubai,13081.35,Medium
3144,Abu Dhabi,13080.72,Medium
3791,Abu Dhabi,13080.63,Medium
2059,Dubai,13074.87,Medium
67,Sharjah,13073.35,Medium
2843,Dubai,13073.28,Medium
545,Sharjah,13071.59,Medium
1951,Abu Dhabi,13070.42,Medium
2056,Dubai,13069.24,Medium
3228,Abu Dhabi,13066.08,Medium
4433,Sharjah,13064.74,Medium
1056,Dubai,13064.34,Medium
2987,Dubai,13061.80,Medium
3306,Abu Dhabi,13059.77,Medium
4991,Sharjah,13052.56,Medium
1564,Abu Dhabi,13049.69,Medium
4877,Abu Dhabi,13049.04,Medium
3265,Dubai,13048.15,Medium
3978,Dubai,13046.02,Medium
647,Dubai,13041.40,Medium
4114,Dubai,13039.18,Medium
1317,Dubai,13038.50,Medium
2279,Abu Dhabi,13036.09,Medium
1576,Sharjah,13034.14,Medium
157,Dubai,13031.73,Medium
1641,Abu Dhabi,13027.84,Medium
2199,Abu Dhabi,13027.45,Medium
899,Dubai,13023.68,Medium
4367,Dubai,13022.73,Medium
1550,Dubai,13021.96,Medium
1496,Dubai,13021.81,Medium
1291,Abu Dhabi,13014.10,Medium
2052,Abu Dhabi,13013.99,Medium
3015,Sharjah,13012.10,Medium
2134,Dubai,13010.77,Medium
242,Sharjah,13010.57,Medium
2246,Dubai,13006.46,Medium
4758,Dubai,13005.66,Medium
2225,Dubai,13004.57,Medium
1314,Abu Dhabi,13004.37,Medium
4506,Abu Dhabi,13001.45,Medium
2014,Dubai,13000.38,Medium
1375,Dubai,13000.18,Medium
1631,Dubai,12998.44,Medium
2844,Abu Dhabi,12996.57,Medium
4081,Dubai,12996.54,Medium
672,Sharjah,12994.08,Medium
932,Dubai,12993.45,Medium
2949,Dubai,12991.46,Medium
3145,Dubai,12990.52,Medium
2113,Sharjah,12988.47,Medium
4350,Sharjah,12985.96,Medium
2088,Abu Dhabi,12984.16,Medium
2037,Dubai,12983.59,Medium
2228,Sharjah,12982.83,Medium
4280,Dubai,12980.61,Medium
475,Dubai,12979.75,Medium
1822,Sharjah,12975.64,Medium
4288,Dubai,12974.55,Medium
1845,Sharjah,12972.57,Medium
2842,Sharjah,12966.90,Medium
604,Abu Dhabi,12964.80,Medium
2992,Dubai,12964.06,Medium
3752,Abu Dhabi,12959.64,Medium
3520,Dubai,12958.50,Medium
1183,Dubai,12957.71,Medium
1572,Dubai,12957.31,Medium
2792,Dubai,12956.15,Medium
2235,Dubai,12954.79,Medium
2800,Sharjah,12954.62,Medium
606,Sharjah,12953.31,Medium
2164,Dubai,12948.36,Medium
4956,Dubai,12947.04,Medium
86,Dubai,12946.42,Medium
4774,Dubai,12945.99,Medium
897,Dubai,12945.88,Medium
240,Abu Dhabi,12945.60,Medium
667,Abu Dhabi,12945.35,Medium
2518,Abu Dhabi,12944.93,Medium
2887,Abu Dhabi,12944.81,Medium
2065,Abu Dhabi,12940.73,Medium
2860,Sharjah,12935.61,Medium
4803,Dubai,12935.47,Medium
4667,Dubai,12934.38,Medium
2408,Dubai,12931.00,Medium
2714,Abu Dhabi,12928.70,Medium
3053,Sharjah,12926.72,Medium
1969,Dubai,12926.67,Medium
4639,Dubai,12923.43,Medium
1261,Dubai,12918.75,Medium
922,Sharjah,12918.10,Medium
247,Dubai,12917.57,Medium
1311,Abu Dhabi,12914.21,Medium
779,Sharjah,12912.92,Medium
1450,Dubai,12912.39,Medium
4745,Dubai,12910.67,Medium
2374,Dubai,12910.26,Medium
2160,Dubai,12910.00,Medium
3225,Abu Dhabi,12908.64,Medium
2222,Abu Dhabi,12905.74,Medium
675,Dubai,12904.82,Medium
1218,Sharjah,12904.75,Medium
4704,Dubai,12903.55,Medium
782,Abu Dhabi,12901.53,Medium
2638,Abu Dhabi,12901.09,Medium
2534,Dubai,12896.67,Medium
2967,Sharjah,12895.92,Medium
3942,Sharjah,12894.17,Medium
4382,Abu Dhabi,12893.73,Medium
442,Sharjah,12892.73,Medium
4444,Dubai,12890.85,Medium
1489,Abu Dhabi,12890.53,Medium
4584,Abu Dhabi,12887.71,Medium
568,Dubai,12884.01,Medium
1573,Abu Dhabi,12883.95,Medium
3555,Dubai,12881.30,Medium
1991,Sharjah,12880.61,Medium
3057,Abu Dhabi,12879.22,Medium
1250,Dubai,12878.21,Medium
14,Dubai,12876.27,Medium
2813,Dubai,12875.20,Medium
4252,Dubai,12874.12,Medium
2473,Dubai,12873.21,Medium
4950,Abu Dhabi,12869.77,Medium
3786,Sharjah,12868.07,Medium
3019,Dubai,12864.97,Medium
3650,Dubai,12864.43,Medium
2952,Dubai,12864.37,Medium
3744,Dubai,12864.12,Medium
