cohort_month,months_since_signup,cohort_size,retained_customers,retention_rate_pct
2021-03-01,45,94,78,82.98
2021-03-01,46,94,84,89.36
2021-03-01,47,94,80,85.11
2021-03-01,48,94,80,85.11
2021-03-01,49,94,73,77.66
2021-03-01,50,94,84,89.36
2021-03-01,51,94,82,87.23
2021-03-01,52,94,73,77.66
2021-03-01,53,94,74,78.72
2021-03-01,54,94,64,68.09
2021-03-01,55,94,64,68.09
2021-04-01,0,85,66,77.65
2021-04-01,1,85,76,89.41
2021-04-01,2,85,71,83.53
2021-04-01,3,85,68,80.00
2021-04-01,4,85,70,82.35
2021-04-01,5,85,63,74.12
2021-04-01,6,85,54,63.53
2021-04-01,7,85,56,65.88
2021-04-01,8,85,66,77.65
2021-04-01,9,85,77,90.59
2021-04-01,10,85,69,81.18
2021-04-01,11,85,57,67.06
2021-04-01,12,85,71,83.53
2021-04-01,13,85,71,83.53
2021-04-01,14,85,66,77.65
2021-04-01,15,85,65,76.47
2021-04-01,16,85,71,83.53
2021-04-01,17,85,61,71.76
2021-04-01,18,85,62,72.94
2021-04-01,19,85,63,74.12
2021-04-01,20,85,75,88.24
2021-04-01,21,85,78,91.76
2021-04-01,22,85,70,82.35
2021-04-01,23,85,59,69.41
2021-04-01,24,85,76,89.41
2021-04-01,25,85,73,85.88
2021-04-01,26,85,70,82.35
2021-04-01,27,85,69,81.18
2021-04-01,28,85,61,71.76
2021-04-01,29,85,55,64.71
2021-04-01,30,85,62,72.94
2021-04-01,31,85,62,72.94
2021-04-01,32,85,65,76.47
2021-04-01,33,85,79,92.94
2021-04-01,34,85,75,88.24
2021-04-01,35,85,66,77.65
2021-04-01,36,85,72,84.71
2021-04-01,37,85,76,89.41
2021-04-01,38,85,70,82.35
2021-04-01,39,85,67,78.82
2021-04-01,40,85,67,78.82
2021-04-01,41,85,56,65.88
2021-04-01,42,85,59,69.41
2021-04-01,43,85,58,68.24
2021-04-01,44,85,73,85.88
2021-04-01,45,85,79,92.94
2021-04-01,46,85,76,89.41
2021-04-01,47,85,71,83.53
2021-04-01,48,85,58,68.24
2021-04-01,49,85,75,88.24
2021-04-01,50,85,66,77.65
2021-04-01,51,85,66,77.65
2021-04-01,52,85,78,91.76
2021-04-01,53,85,57,67.06
2021-04-01,54,85,51,60.00
2021-05-01,0,82,70,85.37
2021-05-01,1,82,67,81.71
2021-05-01,2,82,66,80.49
2021-05-01,3,82,67,81.71
2021-05-01,4,82,59,71.95
2021-05-01,5,82,57,69.51
2021-05-01,6,82,54,65.85
2021-05-01,7,82,59,71.95
2021-05-01,8,82,75,91.46
2021-05-01,9,82,74,90.24
2021-05-01,10,82,47,57.32
2021-05-01,11,82,73,89.02
2021-05-01,12,82,74,90.24
2021-05-01,13,82,72,87.80
2021-05-01,14,82,66,80.49
2021-05-01,15,82,68,82.93
2021-05-01,16,82,57,69.51
2021-05-01,17,82,60,73.17
2021-05-01,18,82,61,74.39
2021-05-01,19,82,66,80.49
2021-05-01,20,82,69,84.15
2021-05-01,21,82,68,82.93
2021-05-01,22,82,65,79.27
2021-05-01,23,82,69,84.15
2021-05-01,24,82,65,79.27
2021-05-01,25,82,68,82.93
2021-05-01,26,82,68,82.93
2021-05-01,27,82,63,76.83
2021-05-01,28,82,64,78.05
2021-05-01,29,82,51,62.20
2021-05-01,30,82,52,63.41
2021-05-01,31,82,64,78.05
2021-05-01,32,82,73,89.02
2021-05-01,33,82,77,93.90
2021-05-01,34,82,68,82.93
2021-05-01,35,82,68,82.93
2021-05-01,36,82,66,80.49
2021-05-01,37,82,69,84.15
2021-05-01,38,82,73,89.02
2021-05-01,39,82,57,69.51
2021-05-01,40,82,58,70.73
2021-05-01,41,82,59,71.95
2021-05-01,42,82,60,73.17
2021-05-01,43,82,67,81.71
2021-05-01,44,82,76,92.68
2021-05-01,45,82,68,82.93
2021-05-01,46,82,72,87.80
2021-05-01,47,82,61,74.39
2021-05-01,48,82,71,86.59
2021-05-01,49,82,70,85.37
2021-05-01,50,82,68,82.93
2021-05-01,51,82,69,84.15
2021-05-01,52,82,53,64.63
2021-05-01,53,82,53,64.63
2021-06-01,0,96,77,80.21
2021-06-01,1,96,78,81.25
2021-06-01,2,96,80,83.33
2021-06-01,3,96,70,72.92
2021-06-01,4,96,67,69.79
2021-06-01,5,96,73,76.04
2021-06-01,6,96,79,82.29
2021-06-01,7,96,90,93.75
2021-06-01,8,96,80,83.33
2021-06-01,9,96,71,73.96
2021-06-01,10,96,74,77.08
2021-06-01,11,96,76,79.17
2021-06-01,12,96,78,81.25
2021-06-01,13,96,83,86.46
2021-06-01,14,96,79,82.29
2021-06-01,15,96,73,76.04
2021-06-01,16,96,71,73.96
2021-06-01,17,96,73,76.04
2021-06-01,18,96,75,78.13
2021-06-01,19,96,85,88.54
2021-06-01,20,96,79,82.29
2021-06-01,21,96,70,72.92
2021-06-01,22,96,81,84.38
2021-06-01,23,96,85,88.54
2021-06-01,24,96,77,80.21
2021-06-01,25,96,72,75.00
2021-06-01,26,96,81,84.38
2021-06-01,27,96,68,70.83
2021-06-01,28,96,64,66.67
2021-06-01,29,96,69,71.88
2021-06-01,30,96,84,87.50
2021-06-01,31,96,87,90.63
2021-06-01,32,96,83,86.46
2021-06-01,33,96,71,73.96
2021-06-01,34,96,71,73.96
2021-06-01,35,96,84,87.50
2021-06-01,36,96,82,85.42
2021-06-01,37,96,83,86.46
2021-06-01,38,96,84,87.50
2021-06-01,39,96,70,72.92
2021-06-01,40,96,69,71.88
2021-06-01,41,96,71,73.96
2021-06-01,42,96,74,77.08
2021-06-01,43,96,85,88.54
2021-06-01,44,96,86,89.58
2021-06-01,45,96,81,84.38
2021-06-01,46,96,64,66.67
2021-06-01,47,96,81,84.38
2021-06-01,48,96,86,89.58
2021-06-01,49,96,77,80.21
2021-06-01,50,96,79,82.29
2021-06-01,51,96,64,66.67
2021-06-01,52,96,65,67.71
2021-07-01,0,98,86,87.76
2021-07-01,1,98,77,78.57
2021-07-01,2,98,65,66.33
2021-07-01,3,98,69,70.41
2021-07-01,4,98,74,75.51
2021-07-01,5,98,81,82.65
2021-07-01,6,98,85,86.73
2021-07-01,7,98,91,92.86
2021-07-01,8,98,62,63.27
2021-07-01,9,98,87,88.78
2021-07-01,10,98,79,80.61
2021-07-01,11,98,79,80.61
2021-07-01,12,98,82,83.67
2021-07-01,13,98,84,85.71
2021-07-01,14,98,71,72.45
2021-07-01,15,98,78,79.59
2021-07-01,16,98,66,67.35
2021-07-01,17,98,75,76.53
2021-07-01,18,98,91,92.86
2021-07-01,19,98,80,81.63
2021-07-01,20,98,61,62.24
2021-07-01,21,98,85,86.73
2021-07-01,22,98,83,84.69
2021-07-01,23,98,84,85.71
2021-07-01,24,98,81,82.65
2021-07-01,25,98,80,81.63
2021-07-01,26,98,65,66.33
2021-07-01,27,98,79,80.61
2021-07-01,28,98,68,69.39
2021-07-01,29,98,84,85.71
2021-07-01,30,98,87,88.78
2021-07-01,31,98,89,90.82
2021-07-01,32,98,79,80.61
2021-07-01,33,98,76,77.55
2021-07-01,34,98,82,83.67
2021-07-01,35,98,79,80.61
2021-07-01,36,98,81,82.65
2021-07-01,37,98,83,84.69
2021-07-01,38,98,64,65.31
2021-07-01,39,98,77,78.57
2021-07-01,40,98,69,70.41
2021-07-01,41,98,75,76.53
2021-07-01,42,98,91,92.86
2021-07-01,43,98,83,84.69
2021-07-01,44,98,80,81.63
2021-07-01,45,98,76,77.55
2021-07-01,46,98,86,87.76
2021-07-01,47,98,84,85.71
2021-07-01,48,98,78,79.59
2021-07-01,49,98,77,78.57
2021-07-01,50,98,67,68.37
2021-07-01,51,98,73,74.49
2021-08-01,0,97,78,80.41
2021-08-01,1,97,61,62.89
2021-08-01,2,97,62,63.92
2021-08-01,3,97,62,63.92
2021-08-01,4,97,77,79.38
2021-08-01,5,97,91,93.81
2021-08-01,6,97,82,84.54
2021-08-01,7,97,77,79.38
2021-08-01,8,97,77,79.38
2021-08-01,9,97,79,81.44
2021-08-01,10,97,70,72.16
2021-08-01,11,97,83,85.57
2021-08-01,12,97,85,87.63
2021-08-01,13,97,61,62.89
2021-08-01,14,97,65,67.01
2021-08-01,15,97,74,76.29
2021-08-01,16,97,85,87.63
2021-08-01,17,97,84,86.60
2021-08-01,18,97,85,87.63
2021-08-01,19,97,67,69.07
2021-08-01,20,97,75,77.32
2021-08-01,21,97,80,82.47
2021-08-01,22,97,77,79.38
2021-08-01,23,97,82,84.54
2021-08-01,24,97,81,83.51
2021-08-01,25,97,73,75.26
2021-08-01,26,97,73,75.26
2021-08-01,27,97,67,69.07
2021-08-01,28,97,76,78.35
2021-08-01,29,97,87,89.69
2021-08-01,30,97,83,85.57
2021-08-01,31,97,77,79.38
2021-08-01,32,97,67,69.07
2021-08-01,33,97,85,87.63
2021-08-01,34,97,83,85.57
2021-08-01,35,97,79,81.44
2021-08-01,36,97,77,79.38
2021-08-01,37,97,72,74.23
2021-08-01,38,97,72,74.23
2021-08-01,39,97,69,71.13
2021-08-01,40,97,72,74.23
2021-08-01,41,97,90,92.78
2021-08-01,42,97,87,89.69
2021-08-01,43,97,88,90.72
2021-08-01,44,97,69,71.13
2021-08-01,45,97,87,89.69
2021-08-01,46,97,74,76.29
2021-08-01,47,97,79,81.44
2021-08-01,48,97,72,74.23
2021-08-01,49,97,71,73.20
2021-08-01,50,97,69,71.13
2021-09-01,0,86,50,58.14
2021-09-01,1,86,58,67.44
2021-09-01,2,86,60,69.77
2021-09-01,3,86,64,74.42
2021-09-01,4,86,76,88.37
2021-09-01,5,86,79,91.86
2021-09-01,6,86,60,69.77
2021-09-01,7,86,72,83.72
2021-09-01,8,86,71,82.56
2021-09-01,9,86,68,79.07
2021-09-01,10,86,77,89.53
2021-09-01,11,86,71,82.56
2021-09-01,12,86,60,69.77
2021-09-01,13,86,61,70.93
2021-09-01,14,86,64,74.42
2021-09-01,15,86,73,84.88
2021-09-01,16,86,78,90.70
2021-09-01,17,86,71,82.56
2021-09-01,18,86,66,76.74
2021-09-01,19,86,77,89.53
2021-09-01,20,86,72,83.72
2021-09-01,21,86,69,80.23
2021-09-01,22,86,66,76.74
2021-09-01,23,86,66,76.74
2021-09-01,24,86,48,55.81
2021-09-01,25,86,67,77.91
2021-09-01,26,86,60,69.77
2021-09-01,27,86,64,74.42
2021-09-01,28,86,77,89.53
2021-09-01,29,86,79,91.86
2021-09-01,30,86,74,86.05
2021-09-01,31,86,66,76.74
2021-09-01,32,86,77,89.53
2021-09-01,33,86,74,86.05
2021-09-01,34,86,64,74.42
2021-09-01,35,86,69,80.23
2021-09-01,36,86,53,61.63
2021-09-01,37,86,66,76.74
2021-09-01,38,86,66,76.74
2021-09-01,39,86,68,79.07
2021-09-01,40,86,78,90.70
2021-09-01,41,86,73,84.88
2021-09-01,42,86,80,93.02
2021-09-01,43,86,58,67.44
2021-09-01,44,86,71,82.56
2021-09-01,45,86,72,83.72
2021-09-01,46,86,78,90.70
2021-09-01,47,86,71,82.56
2021-09-01,48,86,65,75.58
2021-09-01,49,86,61,70.93
2021-10-01,0,85,68,80.00
2021-10-01,1,85,56,65.88
2021-10-01,2,85,67,78.82
2021-10-01,3,85,75,88.24
2021-10-01,4,85,74,87.06
2021-10-01,5,85,62,72.94
2021-10-01,6,85,68,80.00
2021-10-01,7,85,71,83.53
2021-10-01,8,85,68,80.00
2021-10-01,9,85,66,77.65
2021-10-01,10,85,71,83.53
2021-10-01,11,85,60,70.59
2021-10-01,12,85,64,75.29
2021-10-01,13,85,54,63.53
2021-10-01,14,85,67,78.82
2021-10-01,15,85,81,95.29
2021-10-01,16,85,76,89.41
2021-10-01,17,85,61,71.76
2021-10-01,18,85,71,83.53
2021-10-01,19,85,73,85.88
2021-10-01,20,85,74,87.06
2021-10-01,21,85,70,82.35
2021-10-01,22,85,62,72.94
2021-10-01,23,85,52,61.18
2021-10-01,24,85,60,70.59
2021-10-01,25,85,59,69.41
2021-10-01,26,85,69,81.18
2021-10-01,27,85,76,89.41
2021-10-01,28,85,73,85.88
2021-10-01,29,85,68,80.00
2021-10-01,30,85,67,78.82
2021-10-01,31,85,69,81.18
2021-10-01,32,85,73,85.88
2021-10-01,33,85,75,88.24
2021-10-01,34,85,69,81.18
2021-10-01,35,85,56,65.88
2021-10-01,36,85,67,78.82
2021-10-01,37,85,61,71.76
2021-10-01,38,85,72,84.71
2021-10-01,39,85,75,88.24
2021-10-01,40,85,75,88.24
2021-10-01,41,85,72,84.71
2021-10-01,42,85,64,75.29
2021-10-01,43,85,68,80.00
2021-10-01,44,85,70,82.35
2021-10-01,45,85,68,80.00
2021-10-01,46,85,74,87.06
2021-10-01,47,85,54,63.53
2021-10-01,48,85,59,69.41
2021-11-01,0,102,76,74.51
2021-11-01,1,102,80,78.43
2021-11-01,2,102,90,88.24
2021-11-01,3,102,92,90.20
2021-11-01,4,102,72,70.59
2021-11-01,5,102,86,84.31
2021-11-01,6,102,92,90.20
2021-11-01,7,102,80,78.43
2021-11-01,8,102,83,81.37
2021-11-01,9,102,87,85.29
2021-11-01,10,102,70,68.63
2021-11-01,11,102,76,74.51
2021-11-01,12,102,65,63.73
2021-11-01,13,102,87,85.29
2021-11-01,14,102,89,87.25
2021-11-01,15,102,81,79.41
2021-11-01,16,102,84,82.35
2021-11-01,17,102,82,80.39
2021-11-01,18,102,88,86.27
2021-11-01,19,102,88,86.27
2021-11-01,20,102,89,87.25
2021-11-01,21,102,83,81.37
2021-11-01,22,102,62,60.78
2021-11-01,23,102,75,73.53
2021-11-01,24,102,77,75.49
2021-11-01,25,102,86,84.31
2021-11-01,26,102,93,91.18
2021-11-01,27,102,85,83.33
2021-11-01,28,102,80,78.43
2021-11-01,29,102,82,80.39
2021-11-01,30,102,83,81.37
2021-11-01,31,102,85,83.33
2021-11-01,32,102,87,85.29
2021-11-01,33,102,81,79.41
2021-11-01,34,102,56,54.90
2021-11-01,35,102,85,83.33
2021-11-01,36,102,74,72.55
2021-11-01,37,102,80,78.43
2021-11-01,38,102,92,90.20
2021-11-01,39,102,82,80.39
2021-11-01,40,102,88,86.27
2021-11-01,41,102,81,79.41
2021-11-01,42,102,80,78.43
2021-11-01,43,102,84,82.35
2021-11-01,44,102,77,75.49
2021-11-01,45,102,84,82.35
2021-11-01,46,102,73,71.57
2021-11-01,47,102,71,69.61
2021-12-01,0,87,68,78.16
2021-12-01,1,87,77,88.51
2021-12-01,2,87,76,87.36
2021-12-01,3,87,56,64.37
2021-12-01,4,87,74,85.06
2021-12-01,5,87,71,81.61
2021-12-01,6,87,67,77.01
2021-12-01,7,87,70,80.46
2021-12-01,8,87,72,82.76
2021-12-01,9,87,70,80.46
2021-12-01,10,87,67,77.01
2021-12-01,11,87,67,77.01
2021-12-01,12,87,79,90.80
2021-12-01,13,87,80,91.95
2021-12-01,14,87,80,91.95
2021-12-01,15,87,57,65.52
2021-12-01,16,87,75,86.21
2021-12-01,17,87,67,77.01
2021-12-01,18,87,69,79.31
2021-12-01,19,87,70,80.46
2021-12-01,20,87,78,89.66
2021-12-01,21,87,51,58.62
2021-12-01,22,87,63,72.41
2021-12-01,23,87,59,67.82
2021-12-01,24,87,68,78.16
2021-12-01,25,87,81,93.10
2021-12-01,26,87,72,82.76
2021-12-01,27,87,66,75.86
2021-12-01,28,87,64,73.56
2021-12-01,29,87,71,81.61
2021-12-01,30,87,74,85.06
2021-12-01,31,87,72,82.76
2021-12-01,32,87,73,83.91
2021-12-01,33,87,63,72.41
2021-12-01,34,87,56,64.37
2021-12-01,35,87,63,72.41
2021-12-01,36,87,67,77.01
2021-12-01,37,87,77,88.51
2021-12-01,38,87,77,88.51
2021-12-01,39,87,79,90.80
2021-12-01,40,87,55,63.22
2021-12-01,41,87,73,83.91
2021-12-01,42,87,77,88.51
2021-12-01,43,87,66,75.86
2021-12-01,44,87,70,80.46
2021-12-01,45,87,51,58.62
2021-12-01,46,87,63,72.41
2022-01-01,0,84,70,83.33
2022-01-01,1,84,69,82.14
2022-01-01,2,84,56,66.67
2022-01-01,3,84,73,86.90
2022-01-01,4,84,70,83.33
2022-01-01,5,84,67,79.76
2022-01-01,6,84,68,80.95
2022-01-01,7,84,72,85.71
2022-01-01,8,84,60,71.43
2022-01-01,9,84,65,77.38
2022-01-01,10,84,64,76.19
2022-01-01,11,84,74,88.10
2022-01-01,12,84,76,90.48
2022-01-01,13,84,75,89.29
2022-01-01,14,84,62,73.81
2022-01-01,15,84,69,82.14
2022-01-01,16,84,71,84.52
2022-01-01,17,84,61,72.62
2022-01-01,18,84,70,83.33
2022-01-01,19,84,63,75.00
2022-01-01,20,84,54,64.29
2022-01-01,21,84,65,77.38
2022-01-01,22,84,56,66.67
2022-01-01,23,84,72,85.71
2022-01-01,24,84,71,84.52
2022-01-01,25,84,71,84.52
2022-01-01,26,84,59,70.24
2022-01-01,27,84,64,76.19
2022-01-01,28,84,76,90.48
2022-01-01,29,84,67,79.76
2022-01-01,30,84,68,80.95
2022-01-01,31,84,69,82.14
2022-01-01,32,84,56,66.67
2022-01-01,33,84,67,79.76
2022-01-01,34,84,62,73.81
2022-01-01,35,84,69,82.14
2022-01-01,36,84,79,94.05
2022-01-01,37,84,70,83.33
2022-01-01,38,84,73,86.90
2022-01-01,39,84,59,70.24
2022-01-01,40,84,69,82.14
2022-01-01,41,84,79,94.05
2022-01-01,42,84,73,86.90
2022-01-01,43,84,67,79.76
2022-01-01,44,84,52,61.90
2022-01-01,45,84,65,77.38
2022-02-01,0,82,67,81.71
2022-02-01,1,82,53,64.63
2022-02-01,2,82,71,86.59
2022-02-01,3,82,75,91.46
2022-02-01,4,82,65,79.27
2022-02-01,5,82,68,82.93
2022-02-01,6,82,68,82.93
2022-02-01,7,82,62,75.61
2022-02-01,8,82,61,74.39
2022-02-01,9,82,58,70.73
2022-02-01,10,82,68,82.93
2022-02-01,11,82,75,91.46
2022-02-01,12,82,77,93.90
2022-02-01,13,82,60,73.17
2022-02-01,14,82,70,85.37
2022-02-01,15,82,74,90.24
2022-02-01,16,82,71,86.59
2022-02-01,17,82,62,75.61
2022-02-01,18,82,66,80.49
2022-02-01,19,82,56,68.29
2022-02-01,20,82,60,73.17
2022-02-01,21,82,55,67.07
2022-02-01,22,82,64,78.05
2022-02-01,23,82,74,90.24
2022-02-01,24,82,75,91.46
2022-02-01,25,82,71,86.59
2022-02-01,26,82,65,79.27
2022-02-01,27,82,75,91.46
2022-02-01,28,82,66,80.49
2022-02-01,29,82,61,74.39
2022-02-01,30,82,66,80.49
2022-02-01,31,82,53,64.63
2022-02-01,32,82,58,70.73
2022-02-01,33,82,63,76.83
2022-02-01,34,82,64,78.05
2022-02-01,35,82,74,90.24
2022-02-01,36,82,70,85.37
2022-02-01,37,82,75,91.46
2022-02-01,38,82,53,64.63
2022-02-01,39,82,70,85.37
2022-02-01,40,82,70,85.37
2022-02-01,41,82,61,74.39
2022-02-01,42,82,67,81.71
2022-02-01,43,82,56,68.29
2022-02-01,44,82,64,78.05
2022-03-01,0,91,64,70.33
2022-03-01,1,91,80,87.91
2022-03-01,2,91,76,83.52
2022-03-01,3,91,71,78.02
2022-03-01,4,91,75,82.42
2022-03-01,5,91,75,82.42
2022-03-01,6,91,69,75.82
2022-03-01,7,91,63,69.23
2022-03-01,8,91,68,74.73
2022-03-01,9,91,76,83.52
2022-03-01,10,91,81,89.01
2022-03-01,11,91,80,87.91
2022-03-01,12,91,73,80.22
2022-03-01,13,91,73,80.22
2022-03-01,14,91,76,83.52
2022-03-01,15,91,66,72.53
2022-03-01,16,91,75,82.42
2022-03-01,17,91,71,78.02
2022-03-01,18,91,67,73.63
2022-03-01,19,91,67,73.63
2022-03-01,20,91,58,63.74
2022-03-01,21,91,79,86.81
2022-03-01,22,91,80,87.91
2022-03-01,23,91,79,86.81
2022-03-01,24,91,67,73.63
2022-03-01,25,91,82,90.11
2022-03-01,26,91,79,86.81
2022-03-01,27,91,69,75.82
2022-03-01,28,91,78,85.71
2022-03-01,29,91,77,84.62
2022-03-01,30,91,65,71.43
2022-03-01,31,91,72,79.12
2022-03-01,32,91,61,67.03
2022-03-01,33,91,73,80.22
2022-03-01,34,91,86,94.51
2022-03-01,35,91,77,84.62
2022-03-01,36,91,79,86.81
2022-03-01,37,91,66,72.53
2022-03-01,38,91,77,84.62
2022-03-01,39,91,74,81.32
2022-03-01,40,91,70,76.92
2022-03-01,41,91,77,84.62
2022-03-01,42,91,59,64.84
2022-03-01,43,91,64,70.33
2022-04-01,0,74,63,85.14
2022-04-01,1,74,60,81.08
2022-04-01,2,74,58,78.38
2022-04-01,3,74,52,70.27
2022-04-01,4,74,60,81.08
2022-04-01,5,74,51,68.92
2022-04-01,6,74,52,70.27
2022-04-01,7,74,53,71.62
2022-04-01,8,74,61,82.43
2022-04-01,9,74,67,90.54
2022-04-01,10,74,60,81.08
2022-04-01,11,74,59,79.73
2022-04-01,12,74,64,86.49
2022-04-01,13,74,61,82.43
2022-04-01,14,74,58,78.38
2022-04-01,15,74,56,75.68
2022-04-01,16,74,57,77.03
2022-04-01,17,74,47,63.51
2022-04-01,18,74,55,74.32
2022-04-01,19,74,55,74.32
2022-04-01,20,74,58,78.38
2022-04-01,21,74,71,95.95
2022-04-01,22,74,64,86.49
2022-04-01,23,74,63,85.14
2022-04-01,24,74,61,82.43
2022-04-01,25,74,59,79.73
2022-04-01,26,74,52,70.27
2022-04-01,27,74,58,78.38
2022-04-01,28,74,62,83.78
2022-04-01,29,74,52,70.27
2022-04-01,30,74,54,72.97
2022-04-01,31,74,49,66.22
2022-04-01,32,74,55,74.32
2022-04-01,33,74,68,91.89
2022-04-01,34,74,62,83.78
2022-04-01,35,74,62,83.78
2022-04-01,36,74,54,72.97
2022-04-01,37,74,59,79.73
2022-04-01,38,74,59,79.73
2022-04-01,39,74,59,79.73
2022-04-01,40,74,66,89.19
2022-04-01,41,74,49,66.22
2022-04-01,42,74,51,68.92
2022-05-01,0,86,73,84.88
2022-05-01,1,86,64,74.42
2022-05-01,2,86,71,82.56
2022-05-01,3,86,71,82.56
2022-05-01,4,86,63,73.26
2022-05-01,5,86,61,70.93
2022-05-01,6,86,61,70.93
2022-05-01,7,86,70,81.40
2022-05-01,8,86,76,88.37
2022-05-01,9,86,71,82.56
2022-05-01,10,86,65,75.58
